method,ratio,mode,nll,d_ppl,delta_d_ppl_vs_dense,delta_percent_vs_dense,tokens,source_json
dense,,isolated,1.969975833,7.170503193,0.000000000,0.000000000,1024,model-calibration/serialization_dir/qwen35_dppl_results/dense_isolated_w2.json
dense,,pathwise,1.969975833,7.170503193,0.000000000,0.000000000,1024,model-calibration/serialization_dir/qwen35_dppl_results/dense_pathwise_w2.json
pimdl_lut_comp,0.0,isolated,6.212614522,499.004204755,491.833701562,6859.123945571,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp00_abs_isolated_w2.json
pimdl_lut_comp,0.0,pathwise,7.847349339,2558.942431429,2551.771928235,35587.069127251,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp00_abs_pathwise_w2.json
pimdl_lut_comp,0.02,isolated,4.491347044,89.241577255,82.071074061,1144.565058359,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp02_abs_isolated_w2.json
pimdl_lut_comp,0.02,pathwise,5.654056424,285.447014759,278.276511566,3880.850535269,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp02_abs_pathwise_w2.json
pimdl_lut_comp,0.05,isolated,3.651434408,38.529894000,31.359390807,437.338774711,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp05_abs_isolated_w2.json
pimdl_lut_comp,0.05,pathwise,4.687167737,108.545315168,101.374811974,1413.775424663,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp05_abs_pathwise_w2.json
pimdl_lut_comp,0.1,isolated,3.016779244,20.425400403,13.254897209,184.853096800,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp10_abs_isolated_w2.json
pimdl_lut_comp,0.1,pathwise,3.682840291,39.759161447,32.588658253,454.482166366,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp10_abs_pathwise_w2.json
pimdl_lut_comp,0.2,isolated,2.454007618,11.634881568,4.464378375,62.260321967,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp20_abs_isolated_w2.json
pimdl_lut_comp,0.2,pathwise,2.635066246,13.944236186,6.773732992,94.466633786,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp20_abs_pathwise_w2.json
pimdl_lut_comp,0.3,isolated,2.196329708,8.991949776,1.821446583,25.401935309,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp30_abs_isolated_w2.json
pimdl_lut_comp,0.3,pathwise,2.268931633,9.669065180,2.498561986,34.845002068,1024,model-calibration/serialization_dir/qwen35_dppl_ratio_sweep/pimdl_v16_c128_comp30_abs_pathwise_w2.json
