rank,sample_id,eval_token_index,channel,tile_id,tile_offset,activation,quantized_activation,reconstruction_error,abs_reconstruction_error,nearest_centroid
1,48,4344,56,14,0,-7.71875,1.0429129600524902,-8.761663436889648,8.761663436889648,113
2,60,5817,56,14,0,-7.28125,0.7482866048812866,-8.029536247253418,8.029536247253418,95
3,28,2550,56,14,0,-7.0625,0.7482866048812866,-7.810786724090576,7.810786724090576,95
4,7,717,56,14,0,-6.75,1.0429129600524902,-7.79291296005249,7.79291296005249,113
5,45,4135,56,14,0,-6.71875,1.0429129600524902,-7.76166296005249,7.76166296005249,113
6,49,4380,56,14,0,-6.6875,1.0429129600524902,-7.73041296005249,7.73041296005249,113
7,26,2516,56,14,0,-6.90625,0.7482866048812866,-7.654536724090576,7.654536724090576,95
8,44,3895,56,14,0,-6.40625,1.0795166492462158,-7.485766410827637,7.485766410827637,93
9,51,4754,56,14,0,-6.40625,1.0429129600524902,-7.44916296005249,7.44916296005249,113
10,88,8338,56,14,0,-6.6875,0.7482866048812866,-7.435786724090576,7.435786724090576,95
11,99,9841,56,14,0,-6.6875,0.7482866048812866,-7.435786724090576,7.435786724090576,95
12,63,6106,56,14,0,-6.6875,0.7482866048812866,-7.435786724090576,7.435786724090576,95
13,47,4265,56,14,0,-6.5,0.7482866048812866,-7.248286724090576,7.248286724090576,95
14,82,7542,24,6,0,9.9375,2.6964197158813477,7.241080284118652,7.241080284118652,118
15,12,1434,56,14,0,-5.9375,1.2608788013458252,-7.198378562927246,7.198378562927246,51
16,25,2454,56,14,0,-5.90625,1.2608788013458252,-7.167128562927246,7.167128562927246,51
17,69,6414,24,6,0,9.5625,2.4571733474731445,7.1053266525268555,7.1053266525268555,101
18,57,5387,56,14,0,-6.03125,1.0429129600524902,-7.07416296005249,7.07416296005249,113
19,43,3841,56,14,0,-6.25,0.7482866048812866,-6.998286724090576,6.998286724090576,95
20,29,2579,56,14,0,-6.21875,0.7482866048812866,-6.967036724090576,6.967036724090576,95
21,46,4150,24,6,0,9.3125,2.4571733474731445,6.8553266525268555,6.8553266525268555,101
