model,method,ncentroid,vec_len,compensation_ratio,mode,nll,d_ppl,tokens,dense_nll,dense_d_ppl,delta_nll,d_ppl_increase_pct,source
Qwen3.5-4B,pimdl_lut,128,64,0.0,isolated,7.977259519637187,2913.934531553701,1024,1.969975832550496,7.170503193478727,6.007283687086691,40537.79699873507,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.0,pathwise,9.562667900427186,14223.743154906848,1024,1.969975832550496,7.170503193478727,7.5926920678766905,198264.64430896213,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.02,isolated,6.54237665168592,693.9338588302749,1024,1.969975832550496,7.170503193478727,4.572400819135424,9577.6173178666,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.02,pathwise,8.478682780321833,4811.108434534244,1024,1.969975832550496,7.170503193478727,6.508706947771337,66995.82723440869,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.05,isolated,5.391147723886075,219.4551149457482,1024,1.969975832550496,7.170503193478727,3.421171891335579,2960.5260052785898,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.05,pathwise,7.0491517570415,1151.8812531056544,1024,1.969975832550496,7.170503193478727,5.079175924491004,15964.16205425084,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.1,isolated,4.070810682203007,58.604452926511385,1024,1.969975832550496,7.170503193478727,2.100834849652511,717.2990283277425,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.1,pathwise,5.145454712019431,171.64951802734168,1024,1.969975832550496,7.170503193478727,3.175478879468935,2293.8280675120504,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.2,isolated,2.8784202139420616,17.786152657263738,1024,1.969975832550496,7.170503193478727,0.9084443813915657,148.04608794316553,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.2,pathwise,3.2600444536001394,26.050695163965212,1024,1.969975832550496,7.170503193478727,1.2900686210496435,263.30358499327116,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.3,isolated,2.3824528674973413,10.831438389738135,1024,1.969975832550496,7.170503193478727,0.4124770349468454,51.055485193687325,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.3,pathwise,2.5030788565845974,12.220059912865702,1024,1.969975832550496,7.170503193478727,0.5331030240341015,70.42123241754268,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.4,isolated,2.1462483394310423,8.55271126271329,1024,1.969975832550496,7.170503193478727,0.1762725068805464,19.276305050552423,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.4,pathwise,2.191241280482963,8.946311106784664,1024,1.969975832550496,7.170503193478727,0.22126544793246694,24.76545739385432,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.5,isolated,2.0485968345269825,7.757009099107886,1024,1.969975832550496,7.170503193478727,0.07862100197648658,8.179424648503918,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
Qwen3.5-4B,pimdl_lut,128,64,0.5,pathwise,2.050743248209514,7.773676730991189,1024,1.969975832550496,7.170503193478727,0.08076741565901813,8.411871820390825,serialization_dir/qwen35_dppl_ratio_sweep_v64_c128/summary.csv
