tile_size_v,slice_start,slice_width,abs_corr_threshold,is_valid_even_tiling,num_tiles,mean_tile_internal_cooccurrence_count_share,weighted_tile_internal_cooccurrence_count_share,mean_tile_internal_cooccurrence_energy_share,weighted_tile_internal_cooccurrence_energy_share,mean_tile_internal_cooccurrence_count_share_percent,weighted_tile_internal_cooccurrence_count_share_percent,mean_tile_internal_cooccurrence_energy_share_percent,weighted_tile_internal_cooccurrence_energy_share_percent,mean_internal_cooccurrence_count,mean_cross_cooccurrence_count_touching_tile,mean_total_cooccurrence_count_touching_tile,total_internal_cooccurrence_count,total_cross_cooccurrence_count_touching_tiles,total_cooccurrence_count_touching_tiles,total_internal_cooccurrence_energy,total_cross_cooccurrence_energy_touching_tiles,total_cooccurrence_energy_touching_tiles
2,0,2048,0.0,True,1024,0.0002443195699975568,0.0002443195699975568,0.00030005861055078405,0.0004514577142758286,0.024431956999755682,0.024431956999755682,0.030005861055078405,0.04514577142758286,1.0,4092.0,4093.0,1024,4190208,4191232,1.5932575801220892,3527.5469691580374,3529.14022673816
2,0,2048,0.01,True,1024,0.00025022922669667687,0.0002510900210676484,0.00030020558923731454,0.0004543116451189454,0.025022922669667685,0.025109002106764842,0.030020558923731455,0.04543116451189454,0.7177734375,2857.912109375,2858.6298828125,735,2926502,2927237,1.5846406822804355,3486.4190222340717,3488.0036629163524
2,0,2048,0.02,True,1024,0.0002493645174177189,0.0002548720709244851,0.00029821860324691954,0.00046990037698215744,0.02493645174177189,0.02548720709244851,0.029821860324691953,0.04699003769821575,0.4619140625,1811.875,1812.3369140625,473,1855360,1855833,1.5247280605146973,3243.265306599518,3244.790034660033
2,0,2048,0.05,True,1024,0.00022969704365614695,0.0003414846995883212,0.00027362893536265397,0.0006893827016657373,0.022969704365614695,0.03414846995883212,0.027362893536265396,0.06893827016657374,0.10546875,308.748046875,308.853515625,108,316158,316266,1.1234136116331557,1628.470147292464,1629.593560904097
2,0,2048,0.1,True,1024,0.06382439001055021,0.0012045959970348407,0.06378641327368885,0.0018434847458933567,6.382439001055021,0.12045959970348406,6.378641327368885,0.18434847458933568,0.025390625,21.052734375,21.078125,26,21558,21584,0.7376203263875951,399.3852057673769,400.12282609376444
4,0,2048,0.0,True,512,0.000733317037399169,0.0007333170373991689,0.0008844694423383198,0.0012363830041378441,0.0733317037399169,0.07333170373991689,0.08844694423383198,0.12363830041378442,6.0,8176.0,8182.0,3072,4186112,4189184,4.35994830616685,3522.0135877059483,3526.3735360121145
4,0,2048,0.01,True,512,0.0007495665510517164,0.0007512541980344347,0.0008848631571701087,0.0012429227162761465,0.07495665510517165,0.07512541980344346,0.08848631571701086,0.12429227162761465,4.29296875,5710.109375,5714.40234375,2198,2923576,2925774,4.3319043506720964,3480.9244948972882,3485.25639924796
4,0,2048,0.02,True,512,0.0007636938549496907,0.0007763364038156934,0.0008837222362320729,0.001282551523325675,0.07636938549496906,0.07763364038156934,0.08837222362320729,0.12825515233256748,2.8125,3619.97265625,3622.78515625,1440,1853426,1854866,4.158232796314609,3237.9982971279187,3242.156529924233
4,0,2048,0.05,True,512,0.0007656782130040067,0.0010061508087174425,0.0008362160383084085,0.0018077378586015445,0.07656782130040067,0.10061508087174426,0.08362160383084086,0.18077378586015444,0.62109375,616.67578125,617.296875,318,315738,316056,2.942589381269416,1624.8317957531917,1627.7743851344608
4,0,2048,0.1,True,512,0.004620928756287606,0.002737691986450745,0.00456660995571774,0.004349872757215721,0.4620928756287606,0.2737691986450745,0.45666099557177403,0.4349872757215721,0.115234375,41.9765625,42.091796875,59,21492,21551,1.7361399474681458,397.38816652521575,399.1243064726839
